iter	Logloss
0	0.6481416755
1	0.6237661574
2	0.6055487337
3	0.5970665903
4	0.5880524936
5	0.5826122738
6	0.5759849487
7	0.5720107016
8	0.5702749664
9	0.5695561482
10	0.5680702002
11	0.5674742365
12	0.5651983528
13	0.5646428993
14	0.5632517947
15	0.5611653214
16	0.5601330204
17	0.5596044267
18	0.5579064346
19	0.5567624318
20	0.5557773489
21	0.5549001224
22	0.5546400239
23	0.55424136
24	0.5533057224
25	0.553301143
26	0.5529459319
27	0.5529459311
28	0.551594137
29	0.5512607067
30	0.5509599132
31	0.5475934687
32	0.5474324801
33	0.5470461791
34	0.5468414011
35	0.5438116288
36	0.542861679
37	0.542718002
38	0.5427090414
39	0.5425991535
40	0.5425990949
41	0.5424384744
42	0.5412786541
43	0.5397569963
44	0.5392857437
45	0.5372125908
46	0.5366884133
47	0.5363656183
48	0.5361431149
49	0.5356668823
50	0.5352124989
51	0.5336335402
52	0.5327828817
53	0.5315415573
54	0.5285004199
55	0.5275084087
56	0.5274561348
57	0.5267699526
58	0.5259261073
59	0.5250384772
60	0.5235653571
61	0.5231158098
62	0.5219475824
63	0.5216750941
64	0.5213956312
65	0.52046585
66	0.5186784431
67	0.5185580544
68	0.5178012453
69	0.5167448162
70	0.516216342
71	0.5151912294
72	0.5143895412
73	0.5136737112
74	0.5129917562
75	0.512609355
76	0.5109452503
77	0.5106459851
78	0.5100279485
79	0.5099434703
80	0.5089876377
81	0.5082859171
82	0.5072050268
83	0.5061631614
84	0.505208181
85	0.5046661742
86	0.5044551716
87	0.5039644926
88	0.5031552634
89	0.5021038861
90	0.5016384956
91	0.5006308619
92	0.4998686375
93	0.4978522794
94	0.4974372755
95	0.4973725886
96	0.4966406815
97	0.4961084587
98	0.4960387735
99	0.4958770368
