iter	Passed	Remaining
0	196	19496
1	276	13554
2	311	10056
3	343	8233
4	372	7079
5	425	6671
6	494	6563
7	554	6373
8	580	5867
9	596	5371
10	648	5250
11	674	4945
12	748	5012
13	775	4762
14	822	4662
15	899	4724
16	969	4731
17	1016	4630
18	1111	4738
19	1211	4846
20	1258	4732
21	1316	4667
22	1348	4513
23	1364	4322
24	1433	4299
25	1450	4128
26	1467	3967
27	1475	3794
28	1574	3856
29	1596	3725
30	1650	3672
31	1727	3671
32	1753	3560
33	1790	3475
34	1814	3370
35	1885	3351
36	1947	3316
37	1996	3257
38	2029	3173
39	2069	3104
40	2077	2989
41	2147	2965
42	2223	2947
43	2335	2972
44	2373	2900
45	2449	2875
46	2517	2839
47	2572	2786
48	2641	2748
49	2707	2707
50	2784	2675
51	2861	2641
52	2938	2605
53	3042	2591
54	3124	2556
55	3201	2515
56	3255	2456
57	3326	2408
58	3380	2348
59	3452	2301
60	3534	2260
61	3604	2208
62	3716	2182
63	3793	2133
64	3864	2081
65	3935	2027
66	4013	1976
67	4083	1921
68	4152	1865
69	4227	1811
70	4305	1758
71	4384	1705
72	4463	1650
73	4537	1594
74	4603	1534
75	4671	1475
76	4741	1416
77	4817	1358
78	4898	1302
79	4975	1243
80	5053	1185
81	5128	1125
82	5197	1064
83	5276	1004
84	5354	944
85	5451	887
86	5589	835
87	5686	775
88	5763	712
89	5836	648
90	5905	584
91	5982	520
92	6059	456
93	6138	391
94	6204	326
95	6284	261
96	6365	196
97	6465	131
98	6544	66
99	6622	0
